station_id,station_elevation,lat,lng
211,220,45.63043,-121.13236
212,624,45.6605294,-121.5096704
213,1128,45.6030988,-121.5095834
215,2073,45.17183665,-121.2892306
216,1964,45.1765566,-121.2903923
214,976,45.6090109,-121.5634005
217,1197,45.5522393,-121.1924875
218,678,45.593297,-121.2269408
219,697,45.5718737,-121.1765053
220,724,45.5756677,-121.1931398
221,1726,45.4975787,-121.5819854
222,1105,46.5844291,-119.7975135
223,534,45.9451387,-119.6088385
224,883,46.2032833,-119.3074955
226,787,48.06476,-119.85798
228,3447,48.79779,-119.25976
229,946,48.7927356,-119.3970188
227,1700,48.06572,-119.79767
230,1186,48.77748,-119.4279
225,1740,47.04999,-118.08032
233,2760,46.5074,-117.3402
235,13,48.820262,-122.600913
236,249,48.764874,-122.204303
1,830,46.38186,-119.24564
237,144,48.991979,-122.368287
238,125,48.984371,-122.429702
231,1765,46.3748928,-116.8670447
234,1865,48.4360069,-120.1786477
232,977,45.73424,-120.35316
2,753,45.969,-119.25756
281,2792,43.74,-116.46
307,2696,43.62,-116.84
313,1906,46.45,-117.01
292,2505,43.61,-116.77
305,2475,43.33,-116.57
3,1218,46.043102,-119.311812
495,2420,43.61,-116.82
4,1512,46.2135909,-119.5008021
290,2325,43.59,-116.81
283,2457,43.73,-117.09
267,3645,43.83,-116.41
288,2622,43.63,-116.88
321,1679,46.34,-116.93
312,2388,43.72,-116.99
270,2580,43.61,-116.81
293,2666,43.5,-116.47
286,2679,43.74,-116.4
309,2648,43.56,-116.75
273,1376,46.39,-116.98
325,2504,43.58,-116.78
492,210,44.56636,-123.23871
505,198,45.03886,-122.77687
276,2595,46.5610764,-117.1229502
274,1351,48.2040757,-120.1191898
282,1633,46.79111,-117.80128
296,2428,46.606203,-117.405109
306,2597,47.40954,-117.03979
5,1494,46.14314,-119.46098
294,1316,46.623326,-118.703125
279,2536,47.8312068,-118.5322418
6,424,45.93907,-119.48771
269,3014,46.0427872,-120.2516761
7,1200,46.04901,-119.41318
8,884,46.02536,-119.52758
9,600,45.96558,-119.45662
10,723,45.98848,-119.32292
311,2755,43.4648374,-116.6860475
11,772,46.29395,-118.74113
297,1621,47.2183533,-118.9898754
12,1119,46.28697,-118.64273
304,2522,47.6727368,-118.0361629
314,2474,47.6124497,-119.4321209
308,2820,43.4756364,-116.6736803
280,1070,46.8903544,-119.4206851
319,1450,46.0886665,-118.2103863
699,1087,46.7131411,-118.8885848
300,929,46.9477881,-119.799298
275,964,46.6445301,-119.3146003
287,886,46.443109,-119.222833
268,831,46.6920271,-119.7276967
322,1742,46.9032106,-120.4001455
521,3,45.573068,-121.155962
506,2820,43.4621843,-116.6940363
301,2538,46.9322763,-117.2246078
284,1734,46.900801,-117.7541003
496,1860,47.11910359,-117.833036
299,16,48.43926,-122.39108
285,732,47.239537,-121.965341
318,690,46.291034,-120.01439
303,2545,46.694612,-117.146045
315,2297,47.08306302,-117.51447886
289,1865,46.6950326,-120.6205074
324,189,48.1240829,-122.8200095
520,1,45.528275,-121.568987
519,1,45.585106,-121.534474
522,1,45.570032,-121.194411
523,1,45.488018,-121.078321
524,1,45.572183,-121.220197
525,1,45.480542,-121.107066
585,1,45.586653,-121.216586
527,1,45.42588,-121.169991
526,1,45.480919,-121.100683
529,1,45.499947,-121.113611
590,1,45.691375,-121.528471
528,1,45.416986,-121.18043
13,495,46.1395,-119.05928
14,682,46.27573,-119.45448
532,1,45.537196,-121.033681
584,1,45.588545,-121.218989
530,1,45.502624,-121.115285
531,1,45.53422,-121.02837
591,1,45.65637,-121.487103
533,1,45.536194,-121.598373
534,1,45.576011,-121.186643
536,1,45.435459,-121.234771
