"","mse","station_id","long","lat"
"1",8.16392732760385,1,-119.24564,46.38186
"2",2.28029787096555,2,-119.25756,45.969
"3",4.00178504171858,3,-119.311812,46.043102
"4",5.6933043970427,4,-119.5008021,46.2135909
"5",5.1846411066653,5,-119.46098,46.14314
"6",2.80268362727807,6,-119.48771,45.93907
"7",2.6403784856879,8,-119.52758,46.02536
"8",1.76661124106563,11,-118.74113,46.29395
"9",2.59275497599451,12,-118.64273,46.28697
"10",3.22608845355916,13,-119.05928,46.1395
"11",2.99177958621211,14,-119.45448,46.27573
"12",2.43896891793755,15,-119.764409,45.860485
"13",5.21712672226934,16,-118.678224,46.019192
"14",4.22342928240741,17,-119.76902249,46.07730979
"15",6.11318755909261,18,-119.0771,46.0667
"16",3.01122003961937,19,-119.2191,46.12443
"17",4.82916246024418,20,-119.805378,45.934291
"18",2.39820925584885,21,-119.127361,46.252855
"19",4.24647528812284,23,-119.56759,46.30179
"20",6.13394316186557,25,-119.756169,45.882173
"21",2.56501103003501,26,-119.73914,46.25059
"22",1.66272879407953,28,-119.1774,46.484
"23",2.01934342016009,29,-118.988629,46.27602
"24",2.90243237731696,30,-119.662584,45.937
"25",1.53141548510653,34,-118.47273,47.1414
"26",5.90864139051332,35,-119.89107,45.84736
"27",2.94542503276088,36,-117.11296,46.19895
"28",7.45163576495464,38,-118.11516,46.30634
"29",7.07889367858785,39,-118.90746,46.07589
"30",3.24619146868624,41,-119.7250476,46.2946284
"31",2.76638552188552,43,-119.00253,46.53175
"32",5.80366481142315,44,-117.29939,47.81469
"33",2.82686103223594,45,-119.0769173,45.972701
"34",2.26528948229998,46,-118.73317,46.21737
"35",1.35099213049176,47,-119.0059,46.3797
"36",5.34129786819683,48,-119.84663,46.26809
"37",18.842208652379,50,-119.724321,46.3762579
"38",6.40602167695473,51,-119.617294,46.31679
"39",2.20357674626381,54,-118.85917,46.79311
"40",4.44222317901235,55,-118.399843,46.027534
"41",4.08455227213029,56,-118.51528,46.78071
"42",9.77012915899325,58,-117.84926,46.85589
"43",2.4681522679217,59,-118.29427,47.3871
"44",1.98274202413336,61,-119.14901,47.64098
"45",4.53993821733822,63,-121.89854,45.68425
"46",4.64292252009762,64,-117.87137,46.38266
"47",2.61467397176182,65,-120.175872,46.379948
"48",6.84814082259055,67,-119.94273,46.82219
"49",3.02141815541031,68,-124.07935,46.7872
"50",2.3588189033189,69,-122.43281,48.00106
"51",9.72166356984325,70,-119.031488,45.9766416
"52",6.66635584705076,73,-119.88001,47.93034
"53",4.07819506621773,74,-117.83002,48.31755
"54",7.97366994075883,75,-122.77455,48.01091
"55",10.6659774018898,77,-118.31543,46.3377
"56",9.3025864640884,78,-119.442287,46.299201
"57",6.83110428995103,79,-119.42093,46.27834
"58",9.15590700617284,83,-118.60845,48.85781
"59",1.83677609739369,84,-123.501372,46.9793463
"60",3.63240088916248,85,-120.244162,45.7358528
"61",6.3029734006734,87,-120.87325,45.6727
"62",6.18016959445479,89,-120.379263889,46.471041667
"63",1.68963106765984,90,-121.48764,45.86279
"64",2.92006152554821,91,-120.390987,46.371877
"65",3.97251880002714,92,-121.56081,45.74124
"66",4.90297335190344,93,-119.916806,46.006681
"67",2.38236383049716,94,-119.93,46.1992
"68",3.36808795153178,95,-122.32723,47.19296
"69",3.07171792537416,96,-119.888438,45.885229
"70",2.7571061659808,98,-120.70668,46.55149
"71",10.1322002716737,100,-120.0658842,46.30869639
"72",4.45993142350454,101,-120.65873,46.70438
"73",16.9137434303351,103,-120.479057,46.517218
"74",7.57473661624066,104,-120.1314225,46.4225406
"75",3.07337451893234,105,-119.99686,46.3856
"76",7.9753128336793,106,-120.70406,46.66392
"77",3.6926384612632,108,-119.90955,46.35684
"78",2.1851738631255,109,-120.47248,46.69065
"79",9.47913288627532,110,-120.34556,46.54142
"80",3.58150503772291,111,-119.834552,46.971727
"81",4.25635738147111,113,-119.2382,46.71866
"82",3.20763017188459,114,-119.86922,47.01547
"83",2.94326107480029,115,-122.321411111,48.883727778
"84",4.99809558737075,117,-122.154161,47.748366
"85",1.28701515585567,118,-119.06672,47.14486
"86",4.15550165765016,119,-119.49226,47.06798
"87",1.32142300848334,120,-118.132094,47.656594
"88",3.8573564452283,121,-119.917337,46.709288
"89",5.55221115898909,122,-119.99194,47.08975
"90",5.44238487273282,123,-120.08779,47.83672
"91",3.2053906786675,124,-120.693398,47.075567
"92",1.55901937348244,125,-120.07179,47.88509
"93",14.5798959476287,126,-123.05898,48.08669
"94",2.3857306535078,127,-119.640287,47.17983
"95",1.70833132454488,128,-119.5108,46.91521
"96",1.33484756025867,129,-119.11924,46.93375
"97",3.99654977599945,130,-120.5018,46.9661
"98",1.76844918622326,132,-120.07187,47.72139
"99",1.81772733898557,133,-119.78143,47.91704
"100",1.90243464334705,134,-122.30761,48.96683
"101",3.31783079885828,136,-119.956826,47.225451
"102",4.37205057966554,138,-120.24554,47.56665
"103",1.45272540123457,139,-122.289082,47.657029
"104",6.93274785307286,140,-119.320869,46.947537
"105",2.23119645809152,143,-119.52767,48.43542
"106",3.84796359411846,145,-120.068466,47.308637
"107",2.07131448870254,146,-119.799642,46.701059
"108",1.73923164266118,147,-117.255704,47.415259
"109",2.37150116792929,148,-119.23822,47.00448
"110",3.38225300197048,149,-120.3490887,47.4393578
"111",7.05163546142828,152,-119.4134,48.97958
"112",1.73698391125425,153,-118.894399,47.866805
"113",1.82081811031462,154,-122.83528,46.95045
"114",2.18315554521001,156,-119.46087,48.68062
"115",1.82198201303155,157,-119.5117883,48.8077299
"116",3.46448782964424,158,-122.37847,48.49735
"117",4.10247315493149,159,-122.11472,47.90265
"118",2.92305257138529,161,-122.6876,48.19945
"119",2.03680498348113,163,-120.19573,47.39962
"120",3.39365700333574,164,-120.2372978,47.3624333
"121",2.17277591563786,165,-120.43145,47.51032
"122",2.00162731698835,167,-119.68375,48.30471
"123",2.36077484398318,168,-120.15542,47.75013
"124",3.31810417644458,169,-119.54974,48.05875
"125",2.80878844392095,170,-124.03275,46.368783
"126",2.86274334215168,172,-122.64792,47.65638
"127",1.58723736276994,173,-122.9742418,46.6867496
"128",3.86017170069423,211,-121.13236,45.63043
"129",14.4801203067329,222,-119.7975135,46.5844291
"130",2.87354889463107,223,-119.6088385,45.9451387
"131",1.53919325919124,225,-118.08032,47.04999
"132",3.76694415579899,226,-119.85798,48.06476
"133",8.84064197016461,227,-119.79767,48.06572
"134",1.47051536260322,228,-119.25976,48.79779
"135",2.96731190994916,229,-119.3970188,48.7927356
"136",2.72017057038417,230,-119.4279,48.77748
"137",3.5757582010582,232,-120.35316,45.73424
"138",3.68048963795256,233,-117.3402,46.5074
"139",3.10339723956166,234,-120.1786477,48.4360069
"140",4.59795301825343,235,-122.600913,48.820262
"141",6.47210760619376,236,-122.204303,48.764874
"142",2.78997377499565,237,-122.368287,48.991979
"143",5.20897600568733,238,-122.429702,48.984371
"144",1.93336757260858,268,-119.7276967,46.6920271
"145",4.73445267259811,269,-120.2516761,46.0427872
"146",5.44504183882375,270,-116.81,43.61
"147",2.78236552599548,271,-123.24418,44.565032
"148",1.96190074487896,272,-119.7204655,48.1375664
"149",1.70986693725689,273,-116.98,46.39
"150",3.70205623335754,274,-120.1191898,48.2040757
"151",2.2451011540526,275,-119.3146003,46.6445301
"152",15.5269067434381,276,-117.1229502,46.5610764
"153",2.63980707383335,277,-122.3728748,48.3503938
"154",1.92606075759241,279,-118.5322418,47.8312068
"155",4.13293775627479,281,-116.46,43.74
"156",2.03509132871744,282,-117.80128,46.79111
"157",9.63148344182567,283,-117.09,43.73
"158",1.28401240085523,284,-117.7541003,46.900801
"159",10.5544930434179,285,-121.965341,47.239537
"160",2.44251349258529,286,-116.4,43.74
"161",2.18534825953773,287,-119.222833,46.443109
"162",6.08397029710225,288,-116.88,43.63
"163",14.6846199614198,289,-120.6205074,46.6950326
"164",3.92417906054202,290,-116.81,43.59
"165",7.40263126507734,291,-121.51794708,45.684725725
"166",3.49069293367442,292,-116.77,43.61
"167",2.88594090386683,293,-116.47,43.5
"168",1.84303412623892,294,-118.703125,46.623326
"169",3.58736707587738,295,-122.4190611,48.9185156
"170",6.31159953703704,296,-117.405109,46.606203
"171",1.91557063616969,297,-118.9898754,47.2183533
"172",2.73183008956669,298,-120.41496629,46.59125909
"173",3.04251873307305,299,-122.39108,48.43926
"174",1.63080636357331,301,-117.2246078,46.9322763
"175",2.64825304095408,302,-120.6231165,47.5943777
