"","mse","station_id","long","lat"
"1",2.72147087852125,1,-119.24564,46.38186
"2",3.05310201680101,2,-119.25756,45.969
"3",2.55033547400612,3,-119.311812,46.043102
"4",4.25671430188546,4,-119.5008021,46.2135909
"5",3.61428289388188,5,-119.46098,46.14314
"6",4.40757923770331,6,-119.48771,45.93907
"7",2.88865733388051,8,-119.52758,46.02536
"8",2.9818765261106,11,-118.74113,46.29395
"9",3.00192289437586,12,-118.64273,46.28697
"10",2.94051924973642,13,-119.05928,46.1395
"11",6.27024154113339,14,-119.45448,46.27573
"12",3.10697443026593,15,-119.764409,45.860485
"13",4.67594588163227,16,-118.678224,46.019192
"14",5.2991281285073,17,-119.76902249,46.07730979
"15",3.19384864469612,18,-119.0771,46.0667
"16",3.04865916021083,19,-119.2191,46.12443
"17",3.98207922095688,20,-119.805378,45.934291
"18",4.11945936839234,21,-119.127361,46.252855
"19",3.8140012961253,23,-119.56759,46.30179
"20",3.25687290809328,25,-119.756169,45.882173
"21",4.62627549659112,26,-119.73914,46.25059
"22",2.16268422344997,28,-119.1774,46.484
"23",3.31727836792837,29,-118.988629,46.27602
"24",4.40043850888958,30,-119.662584,45.937
"25",1.93329639205226,34,-118.47273,47.1414
"26",3.92043446188571,35,-119.89107,45.84736
"27",3.66105053451962,36,-117.11296,46.19895
"28",3.97263830570902,38,-118.11516,46.30634
"29",3.95311194241041,39,-118.90746,46.07589
"30",3.91575740567832,41,-119.7250476,46.2946284
"31",2.57963663369809,43,-119.00253,46.53175
"32",3.10826013091847,44,-117.29939,47.81469
"33",3.08590695816187,45,-119.0769173,45.972701
"34",3.41501899256531,46,-118.73317,46.21737
"35",2.3224986654252,47,-119.0059,46.3797
"36",3.80446966092854,48,-119.84663,46.26809
"37",5.48381271327507,50,-119.724321,46.3762579
"38",3.99548456790124,51,-119.617294,46.31679
"39",2.4395617974334,54,-118.85917,46.79311
"40",5.81139296296297,55,-118.399843,46.027534
"41",2.27861873741354,56,-118.51528,46.78071
"42",3.34452525748585,58,-117.84926,46.85589
"43",2.78769648386877,59,-118.29427,47.3871
"44",2.21323986538327,61,-119.14901,47.64098
"45",6.14741790123457,63,-121.89854,45.68425
"46",3.9777624641114,64,-117.87137,46.38266
"47",3.95778855466885,65,-120.175872,46.379948
"48",4.95594256530933,67,-119.94273,46.82219
"49",2.25577308561285,68,-124.07935,46.7872
"50",2.90850339105339,69,-122.43281,48.00106
"51",3.81070511860175,70,-119.031488,45.9766416
"52",4.59960515089163,73,-119.88001,47.93034
"53",5.6124677979798,74,-117.83002,48.31755
"54",2.68701255370144,75,-122.77455,48.01091
"55",3.32022747775709,77,-118.31543,46.3377
"56",4.14270670827365,78,-119.442287,46.299201
"57",4.1476014863094,79,-119.42093,46.27834
"58",3.75835629286694,83,-118.60845,48.85781
"59",1.33704762231367,84,-123.501372,46.9793463
"60",3.63969914161623,85,-120.244162,45.7358528
"61",3.42848223650648,87,-120.87325,45.6727
"62",4.00366548382647,89,-120.379263889,46.471041667
"63",3.00762893647838,90,-121.48764,45.86279
"64",4.45180310915259,91,-120.390987,46.371877
"65",3.3580540666124,92,-121.56081,45.74124
"66",5.50808276075519,93,-119.916806,46.006681
"67",3.17058039706373,94,-119.93,46.1992
"68",4.36060306812986,95,-122.32723,47.19296
"69",3.56584373405063,96,-119.888438,45.885229
"70",4.14013983539095,98,-120.70668,46.55149
"71",3.47182119398879,100,-120.0658842,46.30869639
"72",4.2016759566196,101,-120.65873,46.70438
"73",4.54636099579433,103,-120.479057,46.517218
"74",3.44131368109894,104,-120.1314225,46.4225406
"75",4.28477401200083,105,-119.99686,46.3856
"76",4.11202486252231,106,-120.70406,46.66392
"77",3.78944079083915,108,-119.90955,46.35684
"78",3.99326804647785,109,-120.47248,46.69065
"79",3.22031607345507,110,-120.34556,46.54142
"80",3.80601837791495,111,-119.834552,46.971727
"81",2.4453587993222,113,-119.2382,46.71866
"82",2.78914743878317,114,-119.86922,47.01547
"83",3.27097470000346,115,-122.321411111,48.883727778
"84",5.09941077221012,117,-122.154161,47.748366
"85",2.33201765909556,118,-119.06672,47.14486
"86",3.18106320571508,119,-119.49226,47.06798
"87",2.99650170701428,120,-118.132094,47.656594
"88",3.87952371154223,121,-119.917337,46.709288
"89",3.7623398720974,122,-119.99194,47.08975
"90",3.68785887821978,123,-120.08779,47.83672
"91",3.30859447892958,124,-120.693398,47.075567
"92",3.06492784446496,125,-120.07179,47.88509
"93",1.58817495285872,126,-123.05898,48.08669
"94",3.21723147408886,127,-119.640287,47.17983
"95",3.09442451349655,128,-119.5108,46.91521
"96",2.43467881868797,129,-119.11924,46.93375
"97",2.9872902226326,130,-120.5018,46.9661
"98",4.87068020613206,132,-120.07187,47.72139
"99",3.99594316525361,133,-119.78143,47.91704
"100",2.96221620713306,134,-122.30761,48.96683
"101",3.52097190412325,136,-119.956826,47.225451
"102",5.16677593447557,138,-120.24554,47.56665
"103",3.65244970507545,139,-122.289082,47.657029
"104",2.52800737349071,140,-119.320869,46.947537
"105",2.3818493967852,143,-119.52767,48.43542
"106",5.0771737931752,145,-120.068466,47.308637
"107",3.3215196909698,146,-119.799642,46.701059
"108",3.24489332304527,147,-117.255704,47.415259
"109",2.77056841329966,148,-119.23822,47.00448
"110",5.0775230184582,149,-120.3490887,47.4393578
"111",3.39465846122366,152,-119.4134,48.97958
"112",2.23471344784398,153,-118.894399,47.866805
"113",4.14029210473915,154,-122.83528,46.95045
"114",2.47627058762673,156,-119.46087,48.68062
"115",2.84248290466392,157,-119.5117883,48.8077299
"116",2.86571961063628,158,-122.37847,48.49735
